"index","payment_date","userid","price","payment_period"
"203","2016-12-01T00:00:00.000Z","0450ffd7356d57d86d4d","5000","2016-11-01T00:00:00.000Z"
"204","2016-10-19T00:00:00.000Z","0452e6cb4b8d14f60a21","5000","2016-10-01T00:00:00.000Z"
"205","2016-05-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-05-01T00:00:00.000Z"
"206","2016-06-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-06-01T00:00:00.000Z"
"207","2016-07-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-07-01T00:00:00.000Z"
"208","2016-08-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-08-01T00:00:00.000Z"
"209","2016-09-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-09-01T00:00:00.000Z"
"210","2016-10-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-10-01T00:00:00.000Z"
"211","2016-11-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-11-01T00:00:00.000Z"
"212","2016-12-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2016-12-01T00:00:00.000Z"
"213","2017-01-20T00:00:00.000Z","048175bf7590ebbf046c","5000","2017-01-01T00:00:00.000Z"
"214","2017-01-24T00:00:00.000Z","048e3e65613429c91e86","5000","2017-01-01T00:00:00.000Z"
"215","2016-07-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-07-01T00:00:00.000Z"
"216","2016-08-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-08-01T00:00:00.000Z"
"217","2016-09-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-09-01T00:00:00.000Z"
"218","2016-10-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-10-01T00:00:00.000Z"
"219","2016-11-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-11-01T00:00:00.000Z"
"220","2016-12-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2016-12-01T00:00:00.000Z"
"221","2017-01-21T00:00:00.000Z","04b97cebb3707be9569e","5000","2017-01-01T00:00:00.000Z"
"222","2016-12-12T00:00:00.000Z","04ba2cf9ce6d3e010c2c","5000","2016-12-01T00:00:00.000Z"
"223","2017-01-12T00:00:00.000Z","04ba2cf9ce6d3e010c2c","5000","2017-01-01T00:00:00.000Z"
"224","2017-02-12T00:00:00.000Z","04ba2cf9ce6d3e010c2c","5000","2017-02-01T00:00:00.000Z"
"225","2016-11-14T00:00:00.000Z","04bec26a45b72e62bc14","5000","2016-11-01T00:00:00.000Z"
"226","2016-12-14T00:00:00.000Z","04bec26a45b72e62bc14","5000","2016-12-01T00:00:00.000Z"
"227","2017-01-14T00:00:00.000Z","04bec26a45b72e62bc14","5000","2017-01-01T00:00:00.000Z"
"228","2016-08-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2016-08-01T00:00:00.000Z"
"229","2016-09-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2016-09-01T00:00:00.000Z"
"230","2016-10-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2016-10-01T00:00:00.000Z"
"231","2016-11-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2016-11-01T00:00:00.000Z"
"232","2016-12-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2016-12-01T00:00:00.000Z"
"233","2017-01-25T00:00:00.000Z","04d2f7d5f0111e31225e","5000","2017-01-01T00:00:00.000Z"
"234","2017-01-13T00:00:00.000Z","04d4f1fd5e17e4cf1397","5000","2017-01-01T00:00:00.000Z"
"235","2016-11-04T00:00:00.000Z","04ed056f48f424972197","5000","2016-11-01T00:00:00.000Z"
"236","2016-12-04T00:00:00.000Z","04ed056f48f424972197","5000","2016-12-01T00:00:00.000Z"
"237","2017-01-04T00:00:00.000Z","04ed056f48f424972197","5000","2017-01-01T00:00:00.000Z"
"238","2017-02-04T00:00:00.000Z","04ed056f48f424972197","5000","2017-02-01T00:00:00.000Z"
"239","2017-02-02T00:00:00.000Z","04f0a95fa24231db21af","5000","2017-02-01T00:00:00.000Z"
"240","2016-10-12T00:00:00.000Z","04f9c91fbda5a6350588","5000","2016-10-01T00:00:00.000Z"
"241","2016-08-30T00:00:00.000Z","0516cbf25aee8dabeac7","5000","2016-08-01T00:00:00.000Z"
"242","2017-01-04T00:00:00.000Z","05472f9e2fd74458f145","5000","2017-01-01T00:00:00.000Z"
"243","2017-02-04T00:00:00.000Z","05472f9e2fd74458f145","5000","2017-02-01T00:00:00.000Z"
"244","2016-06-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-06-01T00:00:00.000Z"
"245","2016-07-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-07-01T00:00:00.000Z"
"246","2016-08-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-08-01T00:00:00.000Z"
"247","2016-09-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-09-01T00:00:00.000Z"
"248","2016-10-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-10-01T00:00:00.000Z"
"249","2016-11-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-11-01T00:00:00.000Z"
"250","2016-12-16T00:00:00.000Z","056460879514c02bc71a","5000","2016-12-01T00:00:00.000Z"
"251","2017-01-16T00:00:00.000Z","056460879514c02bc71a","5000","2017-01-01T00:00:00.000Z"
"252","2016-09-21T00:00:00.000Z","056b3cdeaf819abc6cd4","5000","2016-09-01T00:00:00.000Z"
"253","2016-10-21T00:00:00.000Z","056b3cdeaf819abc6cd4","5000","2016-10-01T00:00:00.000Z"
